date, val1, val2
2012-06-10,4.3772044571e+06,2.8246765820e+06
2012-06-11,8.1215894125e+06,3.2914529604e+06
2012-06-12,1.7115769635e+07,1.9717295971e+07
2012-05-27,5.3680765753e+06,4.6261999558e+06
2012-05-28,1.1641657131e+06,1.7024011314e+06
2012-05-29,1.4185668892e+06,2.3462725377e+06
2012-05-30,4.1249096079e+07,1.8855790893e+07
2012-05-31,4.1901514491e+07,2.4255899267e+07
2012-06-01,1.0217582453e+08,2.7815973258e+07
2012-06-02,2.6868740356e+07,1.2945897450e+07
2012-06-03,3.4053706329e+06,6.3028691674e+06
2012-06-04,9.6409062158e+06,6.0954464387e+06
2012-06-05,5.4390864856e+07,2.7739973423e+07
2012-06-06,4.5509531851e+07,4.8427800618e+07
2012-06-07,2.3263092894e+07,1.1109927480e+07
2012-06-08,3.2555576763e+07,1.7575726741e+07
2012-06-09,8.1019430027e+06,7.5328605954e+06
2012-06-10,8.2954934680e+06,6.5061665273e+06
2012-06-11,6.9587557464e+06,5.0475134951e+06
2012-06-12,4.0985423085e+07,3.0909087990e+07
2012-04-07,3.7750808314e+06,2.1467009305e+06
2012-04-08,4.1571004283e+06,2.1988007959e+06
2012-04-09,6.1560049814e+06,7.7963233964e+06
2012-04-10,6.1427942351e+07,4.9091605790e+07
2012-04-11,5.3796076610e+07,3.0813272316e+07
2012-04-12,5.1322444516e+07,1.3674624290e+07
2012-04-13,8.5784218442e+07,1.5735353863e+07
2012-04-14,2.8298673377e+07,1.5250276390e+07
2012-04-15,3.0135778581e+06,1.5175277124e+06
2012-04-16,1.0211217488e+07,2.5987613713e+06
2012-04-17,2.6191734329e+07,1.4345082423e+07
2012-04-18,3.7210096440e+07,2.3439080812e+07
2012-04-19,5.7370849584e+07,4.3937848447e+07
2012-04-20,2.6038494977e+07,2.0684490276e+07
2012-04-21,8.4823884801e+07,3.9931221803e+07
2012-04-22,3.3880104819e+06,3.1342218618e+06
2012-04-23,3.7371345633e+07,2.1134742207e+07
2012-04-24,3.6376149737e+07,1.5271188935e+07
2012-04-25,5.0139081882e+07,3.7787498861e+07
2012-04-26,3.9262544087e+07,1.3996154247e+07
2012-04-27,4.1789732462e+07,2.4641477941e+07
2012-04-28,7.0558738362e+07,4.0179851535e+07
2012-04-29,1.4505003880e+07,3.6111066656e+06
2012-04-30,1.3617537589e+07,5.6165441584e+06
2012-05-01,5.9360683409e+07,2.5599102037e+07
2012-05-02,3.6374306499e+07,2.0149320527e+07
2012-05-03,4.2216667837e+07,2.5614184452e+07
2012-05-04,6.0377967166e+07,3.9090086086e+07
2012-05-05,7.1934989623e+07,4.7822397871e+07
2012-05-06,1.6574587015e+07,1.1852415737e+07
2012-05-07,9.5085016693e+06,1.1097714478e+07
2012-05-08,3.4576924108e+07,2.5447788322e+07
2012-05-09,2.3141301884e+07,1.5994791058e+07
2012-05-10,3.4552266580e+07,1.3183463808e+07
2012-05-11,6.1700946657e+07,4.2446411536e+07
2012-05-12,2.7542765062e+07,1.6765379450e+07
2012-05-13,2.5339652941e+07,3.9492292500e+06
2012-05-14,1.5510418671e+07,1.2060900984e+07
2012-05-15,2.7104728576e+07,2.1521255287e+07
2012-05-16,2.6186239613e+07,2.5131654570e+07
2012-05-17,4.7639876758e+07,8.1529324840e+07
2012-05-18,6.0249752355e+07,2.7505078453e+07
2012-05-19,4.9935727584e+07,2.6393093826e+07
2012-05-20,9.0823559603e+06,7.1541379961e+06
